Name,Surname,Gender,AI,CC,DSBDA,WT
Casey,Morgan,Female,58,38,53,?
Charlotte,Bellic,Female,95,68,70,100
Tommy,Brown,Female,60,97,69,90
Dutch,Brown,Female,193,198,191,164
Devin,Bellic,Female,?,,,na
Alexa,Wanderline,Female,34,59,30,71
Sadie,Brown,Male,50,57,57,74
Devin,Bellic,Female,162,178,173,162
John,Bellic,Female,--,na,32,84
Quinn,Convoy,Male,78,53,70,99
Devin,Brown,Male,46,84,63,78
Alexa,Morgan,Female,192,158,167,159
Alexa,Brown,Male,66,--,na,na
Sadie,Convoy,Male,47,97,48,75
John,Smith,Male,55,94,68,71
Dutch,Smith,Male,155,191,176,168
Alexa,Smith,Male,69,?,--,
Niko,Morgan,Male,93,36,79,30
Alexa,Convoy,Male,55,84,34,35
Julia,Smith,Male,156,169,186,179
Arthur,Bellic,Male,--,na,na,na
Charlotte,Brown,Female,44,67,97,40
Alexa,Wanderline,Male,30,50,63,72
Devin,Convoy,Male,159,197,187,198
Casey,Bellic,Female,na,--,,--
Dutch,Williams,Male,79,65,98,82
Arthur,Williams,Female,39,39,57,61
Quinn,Jones,Male,165,159,177,153
Alexa,Convoy,Male,?,--,?,--
Sadie,Morgan,Male,57,82,61,73
